GEOIDFQ,NAME,GEOTYPE,Year,Number of Sales,Median Sales Price,Median Sales Price MOE,Median Household Income (MSA),Median Household Income MOE (MSA),Sales Price to Income Index (MSA),Median Sales Price (2024 Dollars),"Median Household Income (MSA, 2024 Dollars)"
0500000US39141,Ross County,COUNTY,2017,173,133500.0,10964.570796367618,63764,1469.0,2.093657863371181,170844.81682441253,81601.11535574413
0500000US39141,Ross County,COUNTY,2018,183,144500.0,11313.797333003806,64052,1189.0,2.2559795166427277,180512.93074267148,80015.32345972037
0500000US39141,Ross County,COUNTY,2019,191,145000.0,9792.720286880873,67207,1091.0,2.157513354263693,177913.7868315751,82462.42670061841
0500000US39141,Ross County,COUNTY,2020,213,165000.0,10153.377589753394,66715,579.0,2.4732069249793898,199986.41866072154,80861.17527848508
0500000US39141,Ross County,COUNTY,2021,265,190000.0,11081.007490814298,71839,1250.0,2.6448029621793174,219953.90633649484,83164.57198582869
0500000US39141,Ross County,COUNTY,2022,243,200000.0,11525.785922347895,75777,1639.0,2.639323277511646,214374.60491021856,81223.32218140816
0500000US39141,Ross County,COUNTY,2023,240,207700.0,13136.162005922697,77390,1550.0,2.6838092776844555,213825.98506081352,79672.57093816253
0500000US39141,Ross County,COUNTY,2024,242,221500.0,13990.97706432522,82938,1487.0,2.670669656852106,221500.0,82938.0
0500000US39159,Union County,COUNTY,2012,556,156900.0,11554.827573109182,53699,1282.0,2.92184211996499,214368.86024896125,73367.70826328215
0500000US39159,Union County,COUNTY,2013,695,170000.0,9353.02223213151,54079,1130.0,3.143549252020193,228914.04851539127,72820.25193919908
0500000US39159,Union County,COUNTY,2014,738,172450.0,9244.825649027322,56371,981.0,3.0591971048943605,228506.3025902271,74694.86102240472
0500000US39159,Union County,COUNTY,2015,862,192000.0,8537.241853199715,58192,1604.0,3.2994226010448173,254109.57019960595,77016.37556799724
0500000US39159,Union County,COUNTY,2016,932,209000.0,8167.8739426859665,60294,1005.0,3.466348227020931,273162.8702496177,78804.22056856676
0500000US39159,Union County,COUNTY,2017,968,230000.0,7938.998073203504,63764,1469.0,3.607051000564582,294339.38479112275,81601.11535574413
0500000US39159,Union County,COUNTY,2018,892,245000.0,9084.646292374186,64052,1189.0,3.8250171735464935,306059.98638030805,80015.32345972037
0500000US39159,Union County,COUNTY,2019,962,270000.0,9905.433930503696,67207,1091.0,4.017438659663428,331287.7409967261,82462.42670061841
0500000US39159,Union County,COUNTY,2020,1005,282000.0,9389.249116346735,66715,579.0,4.226935471782958,341794.97007468774,80861.17527848508
0500000US39159,Union County,COUNTY,2021,1110,344860.0,10807.707282993591,71839,1250.0,4.800456576511365,399227.91652212426,83164.57198582869
